,codes
0,\bowtie
1,\mathbb{W}
2,\pm
3,\lceil
4,\top
5,\sigma
6,\eta
7,\leqslant
8,\wp
9,\cot
10,Q
11,\emptyset
12,\sec
13,>
14,\lor
15,n
16,E
17,k
18,\gneqq
19,S
20,F
21,\sqcap
22,\triangle
23,\nprec
24,\sqsubseteq
25,\urcorner
26,\mathbb{X}
27,\mapsto
28,\kappa
29,\Beta
30,q
31,\gneq
32,\tanh
33,\supset
34,\}
35,\mu
36,-
37,\cos
38,\prec
39,\triangleq
40,\lneqq
41,\smile
42,\mathbb{R}
43,\gnsim
44,\Pi
45,\Q
46,\mathbb{S}
47,\tilde
48,Y
49,\Zeta
50,\vartheta
51,\lll
52,\nmid
53,\{
54,e
55,\rho
56,\ominus
57,\Tau
58,\amalg
59,\nu
60,\hat
61,\xi
62,\overrightarrow{\rm AB}
63,\overline
64,)
65,\omicron
66,\Re
67,\iota
68,\psi
69,\nabla
70,\underline
71,\Xi
72,3
73,\Nu
74,\cap
75,\succneqq
76,\prod
77,5
78,\ge
79,\ggg
80,\partial
81,o
82,r
83,\varphi
84,\dashv
85,\longrightarrow
86,\in
87,N
88,B
89,\mp
90,\ngeqslant
91,\Vdash
92,\nparallel
93,\Upsilon
94,\Kappa
95,\varepsilon
96,\Rightarrow
97,\gamma
98,\varnothing
99,\operatorname{arsech}
100,I
101,\lnsim
102,\#
103,i
104,\triangleright
105,f
106,\uplus
107,","
108,\Downarrow
109,\notin
110,\int
111,\sin
112,\diamond
113,P
114,\vdots
115,\dagger
116,\frac
117,\not\perp
118,\propto
119,\models
120,\ntriangleleft
121,\prime
122,Z
123,\dot
124,\mathbb{N}
125,\operatorname{sech}
126,\zeta
127,\longmapsto
128,\nvDash
129,\Omicron
130,\npreceq
131,\Mu
132,L
133,\arccsc
134,\mathbb{I}
135,<
136,\pi
137,\varrho
138,\lambda
139,\arctan
140,\equiv
141,\neg
142,\sum
143,\sim
144,\perp
145,\rightarrow
146,\tan
147,.
148,\triangleleft
149,T
150,\oplus
151,\bullet
152,\nsubseteqq
153,\simeq
154,\gets
155,\cup
156,\cdot
157,\varpi
158,\rceil
159,4
160,\ulcorner
161,W
162,\Leftarrow
163,\Delta
164,\mathbb{H}
165,l
166,\rightleftharpoons
167,6
168,\doteq
169,\eth
170,\lnapprox
171,\chi
