image,label,normalized_label,source,sample_id,ink_path
image0.png,b,b,symbols,,
image1.png,V,V,symbols,,
image2.png,d,d,symbols,,
image3.png,b,b,symbols,,
image4.png,\overline,\overline,symbols,,
image5.png,n,n,symbols,,
image6.png,n,n,symbols,,
image7.png,b,b,symbols,,
image8.png,a,a,symbols,,
image9.png,u,u,symbols,,
image10.png,p,p,symbols,,
image11.png,C,C,symbols,,
image12.png,+,+,symbols,,
image13.png,),),symbols,,
image14.png,a,a,symbols,,
image15.png,+,+,symbols,,
image16.png,n,n,symbols,,
image17.png,<,<,symbols,,
image18.png,q,q,symbols,,
image19.png,a,a,symbols,,
image20.png,x,x,symbols,,
image21.png,5,5,symbols,,
image22.png,(,(,symbols,,
image23.png,\infty,\infty,symbols,,
image24.png,p,p,symbols,,
image25.png,\int,\int,symbols,,
image26.png,/,/,symbols,,
image27.png,n,n,symbols,,
image28.png,p,p,symbols,,
image29.png,\prod,\prod,symbols,,
image30.png,x,x,symbols,,
image31.png,\pi,\pi,symbols,,
image32.png,<,<,symbols,,
image33.png,d,d,symbols,,
image34.png,\gamma,\gamma,symbols,,
image35.png,1,1,symbols,,
image36.png,f,f,symbols,,
image37.png,),),symbols,,
image38.png,+,+,symbols,,
image39.png,\mu,\mu,symbols,,
image40.png,x,x,symbols,,
image41.png,n,n,symbols,,
image42.png,\theta,\theta,symbols,,
image43.png,a,a,symbols,,
image44.png,+,+,symbols,,
image45.png,D,D,symbols,,
image46.png,A,A,symbols,,
image47.png,-,-,symbols,,
image48.png,V,V,symbols,,
image49.png,p,p,symbols,,
image50.png,\frac,\frac,symbols,,
image51.png,c,c,symbols,,
image52.png,n,n,symbols,,
image53.png,h,h,symbols,,
image54.png,a,a,symbols,,
image55.png,x,x,symbols,,
image56.png,\infty,\infty,symbols,,
image57.png,v,v,symbols,,
image58.png,/,/,symbols,,
image59.png,a,a,symbols,,
image60.png,a,a,symbols,,
image61.png,b,b,symbols,,
image62.png,=,=,symbols,,
image63.png,a,a,symbols,,
image64.png,a,a,symbols,,
image65.png,x,x,symbols,,
image66.png,(,(,symbols,,
image67.png,n,n,symbols,,
image68.png,x,x,symbols,,
image69.png,\approx,\approx,symbols,,
image70.png,(,(,symbols,,
image71.png,0,0,symbols,,
image72.png,f,f,symbols,,
image73.png,a,a,symbols,,
image74.png,e,e,symbols,,
image75.png,+,+,symbols,,
image76.png,\mu,\mu,symbols,,
image77.png,+,+,symbols,,
image78.png,x,x,symbols,,
image79.png,k,k,symbols,,
image80.png,\iff,\iff,symbols,,
image81.png,\sqrt,\sqrt,symbols,,
image82.png,c,c,symbols,,
image83.png,n,n,symbols,,
image84.png,D,D,symbols,,
image85.png,\tilde,\tilde,symbols,,
image86.png,s,s,symbols,,
image87.png,a,a,symbols,,
image88.png,0,0,symbols,,
image89.png,b,b,symbols,,
image90.png,\prod,\prod,symbols,,
image91.png,(,(,symbols,,
image92.png,a,a,symbols,,
image93.png,\gamma,\gamma,symbols,,
image94.png,b,b,symbols,,
